measurement_date,event_count
2019-12-01,1
2019-12-02,1
2019-12-03,1
2019-12-04,1
2019-12-05,176
2019-12-06,177
2019-12-07,121
2019-12-08,155
2019-12-09,552
2019-12-10,281
2019-12-11,179
2019-12-12,160
2019-12-13,164
2019-12-14,111
2019-12-15,133
2019-12-16,635
2019-12-17,331
2019-12-18,172
2019-12-19,157
2019-12-20,185
2019-12-21,218
2019-12-22,210
2019-12-23,285
2019-12-24,464
2019-12-25,517
2019-12-26,210
2019-12-27,219
2019-12-28,140
2019-12-29,146
2019-12-30,320
2019-12-31,541
2020-01-01,562
2020-01-02,378
2020-01-03,337
2020-01-04,126
2020-01-05,134
2020-01-06,342
2020-01-07,329
2020-01-08,366
2020-01-09,429
2020-01-10,405
2020-01-11,136
2020-01-12,138
2020-01-13,232
2020-01-14,266
2020-01-15,322
2020-01-16,314
2020-01-17,293
2020-01-18,265
2020-01-19,256
2020-01-20,269
2020-01-21,654
2020-01-22,338
2020-01-23,294
2020-01-24,246
2020-01-25,355
2020-01-26,276
2020-01-27,243
2020-01-28,247
2020-01-29,327
2020-01-30,307
2020-01-31,176
2020-02-01,130
2020-02-02,131
2020-02-03,248
2020-02-04,290
2020-02-05,296
2020-02-06,512
2020-02-07,389
2020-02-08,234
2020-02-09,245
2020-02-10,171
2020-02-11,211
2020-02-12,282
2020-02-13,290
2020-02-14,270
2020-02-15,151
2020-02-16,199
2020-02-17,169
2020-02-18,300
2020-02-19,305
2020-02-20,228
2020-02-21,253
2020-02-22,213
2020-02-23,124
2020-02-24,205
2020-02-25,458
2020-02-26,334
2020-02-27,326
2020-02-28,380
2020-02-29,703
2020-03-01,516
2020-03-02,353
2020-03-03,311
2020-03-04,252
2020-03-05,276
2020-03-06,281
2020-03-07,199
2020-03-08,191
2020-03-09,293
2020-03-10,329
2020-03-11,383
2020-03-12,422
2020-03-13,445
2020-03-14,220
2020-03-15,319
2020-03-16,378
2020-03-17,724
2020-03-18,402
2020-03-19,377
2020-03-20,571
2020-03-21,236
2020-03-22,168
2020-03-23,164
2020-03-24,234
2020-03-25,227
2020-03-26,197
2020-03-27,295
2020-03-28,161
2020-03-29,144
2020-03-30,360
2020-03-31,317
2020-04-01,311
2020-04-02,431
2020-04-03,606
2020-04-04,870
2020-04-05,531
2020-04-06,3221
2020-04-07,2066
2020-04-08,772
2020-04-09,765
2020-04-10,2688
2020-04-11,1481
2020-04-12,1344
2020-04-13,1312
2020-04-14,910
2020-04-15,864
2020-04-16,2406
2020-04-17,2075
2020-04-18,1221
2020-04-19,18887
2020-04-20,7461
2020-04-21,3144
2020-04-22,2189
2020-04-23,2163
2020-04-24,3440
2020-04-25,1947
2020-04-26,1537
2020-04-27,1212
2020-04-28,963
2020-04-29,737
2020-04-30,630
2020-05-01,501
2020-05-02,287
2020-05-03,196
2020-05-04,295
2020-05-05,296
2020-05-06,227
2020-05-07,415
2020-05-08,378
2020-05-09,446
2020-05-10,484
2020-05-11,393
2020-05-12,386
2020-05-13,416
2020-05-14,231
2020-05-15,384
2020-05-16,377
2020-05-17,318
2020-05-18,304
2020-05-19,357
2020-05-20,426
2020-05-21,481
2020-05-22,429
2020-05-23,304
2020-05-24,577
2020-05-25,824
2020-05-26,905
2020-05-27,339
2020-05-28,237
2020-05-29,417
2020-05-30,600
2020-05-31,658
2020-06-01,456
