measurement_date,event_count
2019-12-01,577
2019-12-02,886
2019-12-03,951
2019-12-04,659
2019-12-05,923
2019-12-06,794
2019-12-07,677
2019-12-08,771
2019-12-09,1056
2019-12-10,888
2019-12-11,1104
2019-12-12,1008
2019-12-13,932
2019-12-14,991
2019-12-15,761
2019-12-16,910
2019-12-17,924
2019-12-18,944
2019-12-19,845
2019-12-20,543
2019-12-21,636
2019-12-22,596
2019-12-23,564
2019-12-24,460
2019-12-25,458
2019-12-26,554
2019-12-27,744
2019-12-28,561
2019-12-29,551
2019-12-30,556
2019-12-31,425
2020-01-01,334
2020-01-02,464
2020-01-03,958
2020-01-04,780
2020-01-05,757
2020-01-06,758
2020-01-07,683
2020-01-08,1222
2020-01-09,573
2020-01-10,267
2020-01-11,359
2020-01-12,434
2020-01-13,937
2020-01-14,450
2020-01-15,697
2020-01-16,890
2020-01-17,564
2020-01-18,162
2020-01-19,341
2020-01-20,853
2020-01-21,591
2020-01-22,499
2020-01-23,374
2020-01-24,441
2020-01-25,299
2020-01-26,315
2020-01-27,505
2020-01-28,429
2020-01-29,448
2020-01-30,445
2020-01-31,350
2020-02-01,379
2020-02-02,444
2020-02-03,652
2020-02-04,894
2020-02-05,623
2020-02-06,604
2020-02-07,664
2020-02-08,269
2020-02-09,400
2020-02-10,900
2020-02-11,594
2020-02-12,460
2020-02-13,672
2020-02-14,465
2020-02-15,248
2020-02-16,496
2020-02-17,663
2020-02-18,948
2020-02-19,611
2020-02-20,698
2020-02-21,436
2020-02-22,552
2020-02-23,840
2020-02-24,540
2020-02-25,665
2020-02-26,479
2020-02-27,401
2020-02-28,444
2020-02-29,586
2020-03-01,672
2020-03-02,613
2020-03-03,546
2020-03-04,874
2020-03-05,582
2020-03-06,618
2020-03-07,470
2020-03-08,500
2020-03-09,778
2020-03-10,466
2020-03-11,459
2020-03-12,424
2020-03-13,294
2020-03-14,160
2020-03-15,309
2020-03-16,275
2020-03-17,318
2020-03-18,367
2020-03-19,451
2020-03-20,390
2020-03-21,396
2020-03-22,629
2020-03-23,518
2020-03-24,488
2020-03-25,580
2020-03-26,630
2020-03-27,428
2020-03-28,816
2020-03-29,830
2020-03-30,703
2020-03-31,460
2020-04-01,651
2020-04-02,415
2020-04-03,406
2020-04-04,811
2020-04-05,955
2020-04-06,464
2020-04-07,393
2020-04-08,664
2020-04-09,630
2020-04-10,839
2020-04-11,866
2020-04-12,714
2020-04-13,890
2020-04-14,746
2020-04-15,856
2020-04-16,557
2020-04-17,616
2020-04-18,995
2020-04-19,711
2020-04-20,738
2020-04-21,728
2020-04-22,841
2020-04-23,981
2020-04-24,694
2020-04-25,869
2020-04-26,1175
2020-04-27,977
2020-04-28,1127
2020-04-29,669
2020-04-30,699
2020-05-01,471
2020-05-02,924
2020-05-03,893
2020-05-04,853
2020-05-05,1075
2020-05-06,828
2020-05-07,688
2020-05-08,938
2020-05-09,812
2020-05-10,968
2020-05-11,568
2020-05-12,626
2020-05-13,795
2020-05-14,375
2020-05-15,313
2020-05-16,740
2020-05-17,833
2020-05-18,826
2020-05-19,478
2020-05-20,607
2020-05-21,487
2020-05-22,479
2020-05-23,916
2020-05-24,765
2020-05-25,835
2020-05-26,882
2020-05-27,678
2020-05-28,916
2020-05-29,709
2020-05-30,747
2020-05-31,1018
2020-06-01,963
