measurement_date,event_count
2019-12-01,1
2019-12-02,1
2019-12-03,1
2019-12-04,190
2019-12-05,352
2019-12-06,304
2019-12-07,265
2019-12-08,266
2019-12-09,430
2019-12-10,367
2019-12-11,364
2019-12-12,389
2019-12-13,310
2019-12-14,254
2019-12-15,270
2019-12-16,461
2019-12-17,395
2019-12-18,414
2019-12-19,364
2019-12-20,273
2019-12-21,257
2019-12-22,310
2019-12-23,403
2019-12-24,390
2019-12-25,362
2019-12-26,349
2019-12-27,351
2019-12-28,241
2019-12-29,266
2019-12-30,371
2019-12-31,394
2020-01-01,322
2020-01-02,412
2020-01-03,410
2020-01-04,239
2020-01-05,277
2020-01-06,380
2020-01-07,405
2020-01-08,372
2020-01-09,347
2020-01-10,317
2020-01-11,225
2020-01-12,231
2020-01-13,358
2020-01-14,322
2020-01-15,292
2020-01-16,338
2020-01-17,361
2020-01-18,220
2020-01-19,209
2020-01-20,357
2020-01-21,338
2020-01-22,315
2020-01-23,325
2020-01-24,272
2020-01-25,203
2020-01-26,211
2020-01-27,345
2020-01-28,330
2020-01-29,380
2020-01-30,342
2020-01-31,364
2020-02-01,260
2020-02-02,255
2020-02-03,373
2020-02-04,327
2020-02-05,372
2020-02-06,379
2020-02-07,353
2020-02-08,232
2020-02-09,279
2020-02-10,357
2020-02-11,382
2020-02-12,336
2020-02-13,345
2020-02-14,349
2020-02-15,272
2020-02-16,288
2020-02-17,475
2020-02-18,417
2020-02-19,401
2020-02-20,354
2020-02-21,342
2020-02-22,318
2020-02-23,273
2020-02-24,467
2020-02-25,507
2020-02-26,320
2020-02-27,329
2020-02-28,351
2020-02-29,237
2020-03-01,253
2020-03-02,367
2020-03-03,334
2020-03-04,288
2020-03-05,214
2020-03-06,213
2020-03-07,184
2020-03-08,219
2020-03-09,282
2020-03-10,267
2020-03-11,233
2020-03-12,272
2020-03-13,249
2020-03-14,218
2020-03-15,244
2020-03-16,280
2020-03-17,310
2020-03-18,337
2020-03-19,332
2020-03-20,345
2020-03-21,284
2020-03-22,253
2020-03-23,370
2020-03-24,351
2020-03-25,344
2020-03-26,315
2020-03-27,330
2020-03-28,295
2020-03-29,290
2020-03-30,380
2020-03-31,358
2020-04-01,294
2020-04-02,314
2020-04-03,318
2020-04-04,336
2020-04-05,367
2020-04-06,486
2020-04-07,402
2020-04-08,363
2020-04-09,373
2020-04-10,446
2020-04-11,377
2020-04-12,417
2020-04-13,419
2020-04-14,366
2020-04-15,393
2020-04-16,483
2020-04-17,433
2020-04-18,338
2020-04-19,416
2020-04-20,429
2020-04-21,430
2020-04-22,384
2020-04-23,407
2020-04-24,476
2020-04-25,363
2020-04-26,406
2020-04-27,417
2020-04-28,501
2020-04-29,458
2020-04-30,425
2020-05-01,323
2020-05-02,384
2020-05-03,314
2020-05-04,403
2020-05-05,426
2020-05-06,412
2020-05-07,399
2020-05-08,369
2020-05-09,312
2020-05-10,310
2020-05-11,400
2020-05-12,403
2020-05-13,401
2020-05-14,411
2020-05-15,351
2020-05-16,317
2020-05-17,346
2020-05-18,357
2020-05-19,337
2020-05-20,329
2020-05-21,315
2020-05-22,325
2020-05-23,295
2020-05-24,302
2020-05-25,504
2020-05-26,444
2020-05-27,363
2020-05-28,347
2020-05-29,363
2020-05-30,280
2020-05-31,384
2020-06-01,374
