measurement_date,event_count
2019-12-01,387
2019-12-02,687
2019-12-03,411
2019-12-04,483
2019-12-05,447
2019-12-06,309
2019-12-07,577
2019-12-08,573
2019-12-09,1467
2019-12-10,1137
2019-12-11,689
2019-12-12,859
2019-12-13,565
2019-12-14,763
2019-12-15,651
2019-12-16,1158
2019-12-17,1006
2019-12-18,897
2019-12-19,1032
2019-12-20,583
2019-12-21,873
2019-12-22,353
2019-12-23,914
2019-12-24,1160
2019-12-25,1176
2019-12-26,695
2019-12-27,307
2019-12-28,275
2019-12-29,294
2019-12-30,940
2019-12-31,901
2020-01-01,1300
2020-01-02,365
2020-01-03,284
2020-01-04,201
2020-01-05,407
2020-01-06,282
2020-01-07,524
2020-01-08,228
2020-01-09,951
2020-01-10,641
2020-01-11,732
2020-01-12,459
2020-01-13,711
2020-01-14,271
2020-01-15,1100
2020-01-16,616
2020-01-17,750
2020-01-18,642
2020-01-19,443
2020-01-20,246
2020-01-21,384
2020-01-22,634
2020-01-23,834
2020-01-24,716
2020-01-25,203
2020-01-26,574
2020-01-27,337
2020-01-28,432
2020-01-29,490
2020-01-30,232
2020-01-31,340
2020-02-01,302
2020-02-02,242
2020-02-03,410
2020-02-04,365
2020-02-05,318
2020-02-06,320
2020-02-07,320
2020-02-08,207
2020-02-09,281
2020-02-10,276
2020-02-11,285
2020-02-12,262
2020-02-13,289
2020-02-14,301
2020-02-15,261
2020-02-16,260
2020-02-17,355
2020-02-18,337
2020-02-19,277
2020-02-20,379
2020-02-21,326
2020-02-22,245
2020-02-23,296
2020-02-24,324
2020-02-25,272
2020-02-26,317
2020-02-27,265
2020-02-28,449
2020-02-29,609
2020-03-01,417
2020-03-02,356
2020-03-03,286
2020-03-04,281
2020-03-05,276
2020-03-06,261
2020-03-07,233
2020-03-08,220
2020-03-09,270
2020-03-10,286
2020-03-11,268
2020-03-12,522
2020-03-13,299
2020-03-14,228
2020-03-15,209
2020-03-16,263
2020-03-17,454
2020-03-18,361
2020-03-19,469
2020-03-20,564
2020-03-21,346
2020-03-22,170
2020-03-23,341
2020-03-24,323
2020-03-25,288
2020-03-26,340
2020-03-27,285
2020-03-28,240
2020-03-29,300
2020-03-30,415
2020-03-31,337
2020-04-01,239
2020-04-02,301
2020-04-03,615
2020-04-04,347
2020-04-05,376
2020-04-06,458
2020-04-07,357
2020-04-08,463
2020-04-09,347
2020-04-10,506
2020-04-11,468
2020-04-12,416
2020-04-13,492
2020-04-14,349
2020-04-15,359
2020-04-16,410
2020-04-17,385
2020-04-18,364
2020-04-19,400
2020-04-20,417
2020-04-21,349
2020-04-22,382
2020-04-23,663
2020-04-24,950
2020-04-25,1113
2020-04-26,477
2020-04-27,467
2020-04-28,597
2020-04-29,538
2020-04-30,689
2020-05-01,455
2020-05-02,567
2020-05-03,475
2020-05-04,397
2020-05-05,344
2020-05-06,396
2020-05-07,469
2020-05-08,839
2020-05-09,363
2020-05-10,387
2020-05-11,434
2020-05-12,426
2020-05-13,398
2020-05-14,362
2020-05-15,422
2020-05-16,430
2020-05-17,444
2020-05-18,395
2020-05-19,324
2020-05-20,363
2020-05-21,341
2020-05-22,351
2020-05-23,303
2020-05-24,334
2020-05-25,806
2020-05-26,793
2020-05-27,471
2020-05-28,336
2020-05-29,451
2020-05-30,574
2020-05-31,563
2020-06-01,413
