measurement_date,event_count
2019-12-01,502
2019-12-02,729
2019-12-03,596
2019-12-04,671
2019-12-05,549
2019-12-06,489
2019-12-07,381
2019-12-08,471
2019-12-09,856
2019-12-10,640
2019-12-11,605
2019-12-12,714
2019-12-13,572
2019-12-14,403
2019-12-15,458
2019-12-16,863
2019-12-17,669
2019-12-18,698
2019-12-19,603
2019-12-20,556
2019-12-21,388
2019-12-22,477
2019-12-23,665
2019-12-24,698
2019-12-25,649
2019-12-26,646
2019-12-27,573
2019-12-28,365
2019-12-29,360
2019-12-30,735
2019-12-31,695
2020-01-01,623
2020-01-02,712
2020-01-03,559
2020-01-04,431
2020-01-05,501
2020-01-06,741
2020-01-07,736
2020-01-08,659
2020-01-09,615
2020-01-10,579
2020-01-11,369
2020-01-12,391
2020-01-13,661
2020-01-14,570
2020-01-15,470
2020-01-16,582
2020-01-17,585
2020-01-18,415
2020-01-19,445
2020-01-20,565
2020-01-21,638
2020-01-22,571
2020-01-23,523
2020-01-24,417
2020-01-25,363
2020-01-26,301
2020-01-27,525
2020-01-28,498
2020-01-29,570
2020-01-30,609
2020-01-31,601
2020-02-01,499
2020-02-02,498
2020-02-03,699
2020-02-04,645
2020-02-05,806
2020-02-06,936
2020-02-07,861
2020-02-08,511
2020-02-09,655
2020-02-10,882
2020-02-11,826
2020-02-12,796
2020-02-13,767
2020-02-14,806
2020-02-15,637
2020-02-16,704
2020-02-17,873
2020-02-18,936
2020-02-19,980
2020-02-20,791
2020-02-21,840
2020-02-22,651
2020-02-23,585
2020-02-24,843
2020-02-25,800
2020-02-26,761
2020-02-27,756
2020-02-28,794
2020-02-29,867
2020-03-01,703
2020-03-02,904
2020-03-03,669
2020-03-04,635
2020-03-05,679
2020-03-06,568
2020-03-07,472
2020-03-08,474
2020-03-09,666
2020-03-10,592
2020-03-11,650
2020-03-12,635
2020-03-13,643
2020-03-14,401
2020-03-15,451
2020-03-16,625
2020-03-17,791
2020-03-18,781
2020-03-19,870
2020-03-20,917
2020-03-21,720
2020-03-22,550
2020-03-23,725
2020-03-24,737
2020-03-25,927
2020-03-26,853
2020-03-27,730
2020-03-28,617
2020-03-29,768
2020-03-30,914
2020-03-31,858
2020-04-01,582
2020-04-02,751
2020-04-03,776
2020-04-04,849
2020-04-05,881
2020-04-06,817
2020-04-07,973
2020-04-08,821
2020-04-09,848
2020-04-10,841
2020-04-11,888
2020-04-12,841
2020-04-13,923
2020-04-14,856
2020-04-15,865
2020-04-16,746
2020-04-17,672
2020-04-18,795
2020-04-19,779
2020-04-20,834
2020-04-21,1048
2020-04-22,937
2020-04-23,1206
2020-04-24,1341
2020-04-25,993
2020-04-26,1029
2020-04-27,1045
2020-04-28,1110
2020-04-29,1099
2020-04-30,1124
2020-05-01,771
2020-05-02,811
2020-05-03,702
2020-05-04,879
2020-05-05,1066
2020-05-06,992
2020-05-07,1015
2020-05-08,1066
2020-05-09,863
2020-05-10,744
2020-05-11,996
2020-05-12,967
2020-05-13,1161
2020-05-14,1120
2020-05-15,1085
2020-05-16,854
2020-05-17,862
2020-05-18,842
2020-05-19,863
2020-05-20,970
2020-05-21,753
2020-05-22,864
2020-05-23,790
2020-05-24,786
2020-05-25,1419
2020-05-26,1155
2020-05-27,846
2020-05-28,794
2020-05-29,976
2020-05-30,811
2020-05-31,981
2020-06-01,948
