measurement_date,event_count
2019-12-01,503
2019-12-02,690
2019-12-03,610
2019-12-04,597
2019-12-05,619
2019-12-06,510
2019-12-07,369
2019-12-08,352
2019-12-09,819
2019-12-10,560
2019-12-11,526
2019-12-12,651
2019-12-13,440
2019-12-14,305
2019-12-15,349
2019-12-16,783
2019-12-17,671
2019-12-18,528
2019-12-19,537
2019-12-20,578
2019-12-21,448
2019-12-22,453
2019-12-23,544
2019-12-24,664
2019-12-25,730
2019-12-26,599
2019-12-27,434
2019-12-28,331
2019-12-29,359
2019-12-30,647
2019-12-31,842
2020-01-01,622
2020-01-02,540
2020-01-03,400
2020-01-04,328
2020-01-05,312
2020-01-06,441
2020-01-07,434
2020-01-08,345
2020-01-09,430
2020-01-10,361
2020-01-11,284
2020-01-12,288
2020-01-13,507
2020-01-14,427
2020-01-15,375
2020-01-16,493
2020-01-17,484
2020-01-18,290
2020-01-19,311
2020-01-20,514
2020-01-21,490
2020-01-22,417
2020-01-23,415
2020-01-24,448
2020-01-25,277
2020-01-26,348
2020-01-27,498
2020-01-28,403
2020-01-29,398
2020-01-30,429
2020-01-31,423
2020-02-01,318
2020-02-02,307
2020-02-03,511
2020-02-04,414
2020-02-05,504
2020-02-06,560
2020-02-07,633
2020-02-08,332
2020-02-09,494
2020-02-10,542
2020-02-11,610
2020-02-12,614
2020-02-13,518
2020-02-14,463
2020-02-15,408
2020-02-16,536
2020-02-17,578
2020-02-18,586
2020-02-19,569
2020-02-20,609
2020-02-21,623
2020-02-22,531
2020-02-23,485
2020-02-24,600
2020-02-25,557
2020-02-26,548
2020-02-27,442
2020-02-28,571
2020-02-29,531
2020-03-01,486
2020-03-02,445
2020-03-03,577
2020-03-04,415
2020-03-05,448
2020-03-06,397
2020-03-07,385
2020-03-08,340
2020-03-09,499
2020-03-10,487
2020-03-11,365
2020-03-12,447
2020-03-13,414
2020-03-14,421
2020-03-15,386
2020-03-16,412
2020-03-17,629
2020-03-18,455
2020-03-19,628
2020-03-20,661
2020-03-21,402
2020-03-22,436
2020-03-23,451
2020-03-24,535
2020-03-25,497
2020-03-26,492
2020-03-27,469
2020-03-28,356
2020-03-29,368
2020-03-30,483
2020-03-31,497
2020-04-01,576
2020-04-02,519
2020-04-03,515
2020-04-04,462
2020-04-05,493
2020-04-06,600
2020-04-07,524
2020-04-08,516
2020-04-09,567
2020-04-10,731
2020-04-11,615
2020-04-12,551
2020-04-13,783
2020-04-14,642
2020-04-15,562
2020-04-16,603
2020-04-17,585
2020-04-18,554
2020-04-19,531
2020-04-20,543
2020-04-21,631
2020-04-22,567
2020-04-23,859
2020-04-24,974
2020-04-25,850
2020-04-26,768
2020-04-27,592
2020-04-28,725
2020-04-29,726
2020-04-30,801
2020-05-01,710
2020-05-02,652
2020-05-03,673
2020-05-04,670
2020-05-05,688
2020-05-06,698
2020-05-07,636
2020-05-08,579
2020-05-09,550
2020-05-10,525
2020-05-11,652
2020-05-12,672
2020-05-13,655
2020-05-14,591
2020-05-15,731
2020-05-16,586
2020-05-17,601
2020-05-18,630
2020-05-19,541
2020-05-20,669
2020-05-21,575
2020-05-22,624
2020-05-23,459
2020-05-24,533
2020-05-25,804
2020-05-26,696
2020-05-27,525
2020-05-28,576
2020-05-29,589
2020-05-30,708
2020-05-31,759
2020-06-01,618
