measurement_date,event_count
2019-12-01,2549
2019-12-02,3556
2019-12-03,3581
2019-12-04,3544
2019-12-05,3206
2019-12-06,3010
2019-12-07,2009
2019-12-08,2151
2019-12-09,3494
2019-12-10,3458
2019-12-11,3340
2019-12-12,3481
2019-12-13,3097
2019-12-14,2067
2019-12-15,2405
2019-12-16,3813
2019-12-17,3866
2019-12-18,3759
2019-12-19,3568
2019-12-20,3043
2019-12-21,2319
2019-12-22,2538
2019-12-23,3593
2019-12-24,3250
2019-12-25,2581
2019-12-26,3333
2019-12-27,3352
2019-12-28,2542
2019-12-29,2701
2019-12-30,3547
2019-12-31,3409
2020-01-01,3126
2020-01-02,4629
2020-01-03,4088
2020-01-04,2678
2020-01-05,2870
2020-01-06,4197
2020-01-07,4163
2020-01-08,3990
2020-01-09,3975
2020-01-10,3575
2020-01-11,2370
2020-01-12,2527
2020-01-13,3901
2020-01-14,3871
2020-01-15,3685
2020-01-16,3871
2020-01-17,3508
2020-01-18,2060
2020-01-19,2222
2020-01-20,3538
2020-01-21,3802
2020-01-22,3692
2020-01-23,3574
2020-01-24,3498
2020-01-25,2071
2020-01-26,2414
2020-01-27,3416
2020-01-28,3562
2020-01-29,3704
2020-01-30,3212
2020-01-31,3154
2020-02-01,2466
2020-02-02,2383
2020-02-03,3728
2020-02-04,3871
2020-02-05,4101
2020-02-06,4874
2020-02-07,4415
2020-02-08,3153
2020-02-09,3423
2020-02-10,5031
2020-02-11,4833
2020-02-12,4482
2020-02-13,4520
2020-02-14,4262
2020-02-15,2983
2020-02-16,3344
2020-02-17,4959
2020-02-18,5321
2020-02-19,4807
2020-02-20,4646
2020-02-21,4436
2020-02-22,3071
2020-02-23,3388
2020-02-24,4137
2020-02-25,4416
2020-02-26,4166
2020-02-27,4075
2020-02-28,3877
2020-02-29,3246
2020-03-01,3743
2020-03-02,4553
2020-03-03,4512
2020-03-04,4160
2020-03-05,3877
2020-03-06,3844
2020-03-07,2820
2020-03-08,3100
2020-03-09,4387
2020-03-10,3944
2020-03-11,3861
2020-03-12,3638
2020-03-13,3466
2020-03-14,2720
2020-03-15,3151
2020-03-16,3694
2020-03-17,3870
2020-03-18,3979
2020-03-19,3623
2020-03-20,3889
2020-03-21,3642
2020-03-22,3722
2020-03-23,4312
2020-03-24,4141
2020-03-25,4023
2020-03-26,3885
2020-03-27,3801
2020-03-28,3396
2020-03-29,3898
2020-03-30,4384
2020-03-31,4165
2020-04-01,4103
2020-04-02,4164
2020-04-03,3827
2020-04-04,3801
2020-04-05,4209
2020-04-06,4072
2020-04-07,4623
2020-04-08,4482
2020-04-09,4625
2020-04-10,4752
2020-04-11,4429
2020-04-12,4643
2020-04-13,5386
2020-04-14,5058
2020-04-15,5026
2020-04-16,4576
2020-04-17,4631
2020-04-18,4208
2020-04-19,5262
2020-04-20,5015
2020-04-21,4555
2020-04-22,4719
2020-04-23,4884
2020-04-24,5320
2020-04-25,4907
2020-04-26,5227
2020-04-27,5859
2020-04-28,6177
2020-04-29,5597
2020-04-30,5306
2020-05-01,5247
2020-05-02,4666
2020-05-03,4839
2020-05-04,5157
2020-05-05,5141
2020-05-06,5550
2020-05-07,5066
2020-05-08,4967
2020-05-09,4215
2020-05-10,4501
2020-05-11,5030
2020-05-12,5243
2020-05-13,5266
2020-05-14,4869
2020-05-15,4544
2020-05-16,4451
2020-05-17,4725
2020-05-18,4963
2020-05-19,5093
2020-05-20,4775
2020-05-21,4529
2020-05-22,4502
2020-05-23,4182
2020-05-24,4129
2020-05-25,5520
2020-05-26,5577
2020-05-27,5191
2020-05-28,5078
2020-05-29,4599
2020-05-30,4180
2020-05-31,4874
2020-06-01,5035
