account_id,observation_date,is_churn,total_events,uniq_prod_ct,total_freebies,pct_reading,pct_downloads_per_book,readingownedbook,ebookdownloaded,readingfreepreview,highlightcreated,freecontentcheckout,readingopenchapter,producttoclivebooklinkopened,livebooklogin
0001b5d2fd33d5b98539d39658d69a90,2020-03-01,True,16,2,0,0.81250000000000000000,0E-20,13,0,0,0,0,0,2,0
000cdc3702cf96b05e72a68eece67dcc,2020-03-01,False,20,3,1,0.80000000000000000000,0.66666666666666666667,16,2,0,0,1,0,0,1
000d0c74074191add6f22e0004db8f76,2020-03-01,False,65,5,9,0.76923076923076923077,0.20000000000000000000,50,1,8,0,0,1,0,3
0012e264db6741aaaf6082905b29f63b,2020-03-01,True,148,3,0,0.83108108108108108108,0.66666666666666666667,123,2,0,1,0,0,0,4
0013168b1c7942e8dab4fa93bd503c58,2020-03-01,True,14,4,1,0.14285714285714285714,0.25000000000000000000,2,1,0,0,0,1,1,1
00148271d12aebd8c3f9d0d7c3270585,2020-03-01,True,41,8,7,0.46341463414634146341,0E-20,19,0,6,0,1,0,13,1
0014c5d6c537debf7f4a62e6ce01f422,2020-03-01,True,119,5,5,0.87394957983193277311,0E-20,104,0,5,0,0,0,5,3
001e6a46dfafc2cbe6cc5b1aa970cfba,2020-03-01,True,222,10,29,0.53603603603603603604,0.10000000000000000000,119,1,28,0,0,1,7,1
00206c18b35fe55df5e0929c7fcf4855,2020-03-01,True,3,2,0,0.66666666666666666667,0E-20,2,0,0,0,0,0,0,0
0022c545e14d176a6dd894c0328cb667,2020-03-01,False,6,3,0,0.33333333333333333333,0E-20,2,0,0,0,0,0,1,1
0028a45e94d8cc0757c127272430e3de,2020-03-01,False,108,3,4,0.84259259259259259259,0E-20,91,0,0,0,0,4,0,1
002c108d2abdde35888f731d396984aa,2020-03-01,True,6,3,0,0.16666666666666666667,0.66666666666666666667,1,2,0,0,0,0,0,1
002f9c8cee878b64a747a2c211da7d83,2020-03-01,True,41,10,10,0.17073170731707317073,0.50000000000000000000,7,5,3,6,0,7,3,2
00370960740dff2303e5757610c01293,2020-03-01,True,5,2,0,0.60000000000000000000,0E-20,3,0,0,0,0,0,0,0
00373be7ffcf3e6111e9a862cccd24ed,2020-03-01,True,3,2,0,1.00000000000000000000,0E-20,3,0,0,0,0,0,0,0
003a8eb4813be2f8c5ad692ff1866162,2020-03-01,False,35,8,3,0.62857142857142857143,0.12500000000000000000,22,1,0,0,2,1,0,2
003e107d07d1a625a4015c8814d9f07b,2020-03-01,True,5,2,0,0.60000000000000000000,0E-20,3,0,0,0,0,0,0,1
004042fb513eddc290d05b7a1aea975e,2020-03-01,True,16,6,7,0.18750000000000000000,0E-20,3,0,4,0,1,2,3,1
004554eda6fc600767f0d5dbaca1925d,2020-03-01,False,35,3,0,0.54285714285714285714,0E-20,19,0,0,14,0,0,0,0
